COMPLETE SCHEDULE AT A GLANCE																		
DURATION	DEPARTMENTS																	
	PSM	TB	GM	PSY	DVL	EM	FMT	R&L	GS	OPT	ENT	ORT	OBG	FP&AY	ANS	PED		
21 APR 25 - 28 APR 25	A1-A11	A12	B1-B6	B7	B8	B9, B10	B11	B12	C1-C6	C7, C8	C9, C10	C11, C12	D1-D6	D7	D8, D9	D10-D12		
29 APR 25 - 05 MAY 25	A1-A10,A12	A11	B1-B5, B12	B6	B7	B8, B9	B10	B11	C1-C5, C12	C6, C7	C8, C9	C10, C11	D1-D5, D12	D6	D7, D8	D9-D11		
06 MAY 25 - 12 MAY 25	A1-A9, A11, A12	A10	B1-B4, B11, B12	B5	B6	B7, B8	B9	B10	C1-C4, C11, C12	C5, C6	C7, C8	C9, C10	D1-D4, D11, D12	D5	D6, D7	D8-D10		
13 MAY 25 - 20 MAY 25	A1-A8, A10-A12	A9	B1-B3, B10-B12	B4	B5	B6, B7	B8	B9	C1-C3, C10-C12	C4, C5	C6, C7	C8, C9	D1-D3, D10-D12	D4	D5, D6	D7-D9		
21 MAY 25 - 28 MAY 25	A1-A7, A9-A12	A8	B1, B2, B9-B12	B3	B4	B5, B6	B7	B8	C1, C2, C9-C12	C3, C4	C5, C6	C7, C8	D1, D2, D9-12	D3	D4, D5	D6-D8		
29 MAY 25 - 04 JUN 25	A1-A6, A8-A12	A7	B1, B8-B12	B2	B3	B4, B5	B6	B7	C1, C8-C12	C2, C3	C4, C5	C6, C7	D1, D8-D12	D2	D3, D4	D5-D7		
05 JUN 25 - 12 JUN 25	A1-A5, A7-A12	A6	B7-B12	B1	B2	B3, B4	B5	B6	C7-C12	C1, C2	C3, C4	C5, C6	D7-D12	D1	D2, D3	D4-D6		
13 JUN 25 - 19 JUN 25	A1-A4, A6-A12	A5	B6-B11	B12	B1	B2, B3	B4	B5	C6-C11	C1, C12	C2, C3	C4, C5	D6-D11	D12	D1, D2	D3-D5		
20 JUN 25 - 27 JUN 25	A1-A3, A5-A12	A4	B5-B10	B11	B12	B1, B2	B3	B4	C5-C10	C11, C12	C1, C2	C3, C4	D5-D10	D11	D1, D12	D2-D4		
28 JUN 25 - 05 JUL 25	A1, A2, A4-A12	A3	B4-B9	B10	B11	B1, B12	B2	B3	C4-C9	C10, C11	C1, C12	C2, C3	D4-D9	D10	D11, D12	D1-D3		
06 JUL 25 - 12 JUL 25	A1, A3-A12	A2	B3-B8	B9	B10	B11, B12	B1	B2	C3-C8	C9, C10	C11, C12	C1, C2	D3-D8	D9	D10, D11	D1, D2, D12		
13 JUL 25 - 20 JUL 25	A2-A12	A1	B2-B7	B8	B9	B10, B11	B12	B1	C2-C7	C8, C9	C10, C11	C1, C12	D2-D7	D8	D9, D10	D1, D11, D12		
NEW DURATION	NEW SCHEDULE - DEPARTMENTS																	
																		
	PSM	TB	GM	FMT	RD	DVL	PSY	EM	GS	OPT 	ENT	ORT	LABS	OBG	FWP	AYUSH	ANS	PED
21 JUL 25 - 27 JUL 25	B1-B12	B13	C1-C6	C7	C8	C9	C10-C11	C12, C13	D1-D6	D7, D8	D9, D10	D11, D12	D13	A1-A6	A7	A8	A9, A10	A11-A13
28 JUL 25 - 03 AUG 25	B1-B11,B13	B12	C1-C5, C13	C6	C7	C8	C9, C10	C11, C12	D1-D5, D13	D6, D7	D8, D9	D10, D11	D12	A1-A5, A13	A6	A7	A8, A9	A10-A12
04 AUG 25 - 10 AUG 25	B1-B10, B12, B13 	B11	C1-C4, C12, C13	C5	C6	C7	C8, C9	C10, C11	D1-D4, D12, D13	D5, D6	D7, D8	D9, D10	D11	A1-A4, A12, A13	A5	A6	A7, A8	A9-A11
11 AUG 25 - 17 AUG 25	B1-B9, B11-B13	B10	C1-C3, C11-C13	C4	C5	C6	C7, C8	C9, C10	D1-D3, D11-D13	D4, D5	D6, D7	D8, D9	D10	A1-A3, A11-A13	A4	A5	A6, A7	A8-A10
18 AUG 25 - 24 AUG 25	B1-B8, B10-B13	B9	C1, C2, C10-C13	C3	C4	C5	C6, C7	C8, C9	D1, D2, D10-D13	D3, D4	D5, D6	D7, D8	D9	A1, A2, A10-13	A3	A4	A5, A6	A7-A9
25 AUG 25 - 31 AUG 25	B1-B7, B9-B13	B8	C1, C9-C13	C2	C3	C4	C5, C6	C7, C8	D1, D9-D13	D2, D3	D4, D5	D6, D7	D8	A1, A9-A13	A2	A3	A4, A5	A6-A8
01 SEP 25 - 07 SEP 25	B1-B6, B8-B13	B7	C8-C13	C1	C2	C3	C4, C5	C6, C7	D8-D13	D1, D2	D3, D4	D5, D6	D7	A8-A13	A1	A2	A3, A4	A5-A7
08 SEP 25 - 14 SEP 25	B1-B5, B7-B13	B6	C7-C12	C13	C1	C2	C3, C4	C5, C6	D7-D12	D1, D13	D2, D3	D4, D5	D6	A7-A12	A13	A1	A2, A3	A4-A6
15 SEP 25 - 21 SEP 25	B1-B4, B6-B13	B5	C6-C11	C12	C13	C1	C2, C3	C4, C5	D6-D11	D12, D13	D1, D2	D3, D4	D5	A6-A11	A12	A13	A1, A2	A3-A5
22 SEP 25 - 28 SEP 25	B1-B3, B5-B13	B4	C5-C10	C11	C12	C13	C1, C2	C3, C4	D5-D10	D11, D12	D1, D13	D2, D3	D4	A5-A10	A11	A12	A1, A13	A2-A4
29 SEP 25 - 05 OCT 25	B1, B2, B4-B13	B3	C4-C9	C10	C11	C12	C1, C13	C2, C3	D4-D9	D10, D11	D12, D13	D1, D2	D3	A4-A9	A10	A11	A12, A13	A1-A3
06 OCT 25 - 12 OCT 25	B1, B3-B13	B2	C3-C8	C9	C10	C11	C12, C13	C1, C2	D3-D8	D9, D10	D11, D12	D1, D13	D2	A3-A8	A9	A10	A11, A12	A1, A2, A13
13 OCT 25 - 19 OCT 25	B2-B13	B1	C2-C7	C8	C9	C10	C11, C12	C1, C13	D2-D7	D8, D9	D10, D11	D12, D13	D1	A2-A7	A8	A9	A10, A11	A1, A12, A13
20 OCT 25 - 26 OCT 25	C1-C12	C13	D1-D6	D7	D8	D9	D10-D11	D12, D13	A1-A6	A7, A8	A9, A10	A11, A12	A13	B1-B6	B7	B8	B9, B10	B11-B13
27 OCT 25 - 02 NOV 25	C1-C11,C13	C12	D1-D5, D13	D6	D7	D8	D9, D10	D11, D12	A1-A5, A13	A6, A7	A8, A9	A10, A11	A12	B1-B5, B13	B6	B7	B8, B9	B10-B12
03 NOV 25 - 09 NOV 25	C1-C10, C12, C13 	C11	D1-D4, D12, D13	D5	D6	D7	D8, D9	D10, D11	A1-A4, A12, A13	A5, A6	A7, A8	A9, A10	A11	B1-B4, B12, B13	B5	B6	B7, B8	B9-B11
10 NOV 25 - 16 NOV 25	C1-C9, C11-C13	C10	D1-D3, D11-D13	D4	D5	D6	D7, D8	D9, D10	A1-A3, A11-A13	A4, A5	A6, A7	A8, A9	A10	B1-B3, B11-B13	B4	B5	B6, B7	B8-B10
17 NOV 25 - 23 NOV 25	C1-C8, C10-C13	C9	D1, D2, D10-D13	D3	D4	D5	D6, D7	D8, D9	A1, A2, A10-A13	A3, A4	A5, A6	A7, A8	A9	B1, B2, B10-13	B3	B4	B5, B6	B7-B9
24 NOV 25 - 30 NOV 25	C1-C7, C9-C13	C8	D1, D9-D13	D2	D3	D4	D5, D6	D7, D8	A1, A9-A13	A2, A3	A4, A5	A6, A7	A8	B1, B9-B13	B2	B3	B4, B5	B6-B8
01 DEC 25 - 07 DEC 25	C1-C6, C8-C13	C7	D8-D13	D1	D2	D3	D4, D5	D6, D7	A8-A13	A1, A2	A3, A4	A5, A6	A7	B8-B13	B1	B2	B3, B4	B5-B7
08 DEC 25 - 14 DEC 25	C1-C5, C7-C13	C6	D7-D12	D13	D1	D2	D3, D4	D5, D6	A7-A12	A1, A13	A2, A3	A4, A5	A6	B7-B12	B13	B1	B2, B3	B4-B6
15 DEC 25 - 21 DEC 25	C1-C4, C6-C13	C5	D6-D11	D12	D13	D1	D2, D3	D4, D5	A6-A11	A12, A13	A1, A2	A3, A4	A5	B6-B11	B12	B13	B1, B2	B3-B5
22 DEC 25 - 28 DEC 25	C1-C3, C5-C13	C4	D5-D10	D11	D12	D13	D1, D2	D3, D4	A5-A10	A11, A12	A1, A13	A2, A3	A4	B5-B10	B11	B12	B1, B13	B2-B4
29 DEC 25 - 04 JAN 26	C1, C2, C4-C13	C3	D4-D9	D10	D11	D12	D1, D13	D2, D3	A4-A9	A10, A11	A12, A13	A1, A2	A3	B4-B9	B10	B11	B12, B13	B1-B3
05 JAN 26 - 11 JAN 26	C1, C3-C13	C2	D3-D8	D9	D10	D11	D12, D13	D1, D2	A3-A8	A9, A10	A11, A12	A1, A13	A2	B3-B8	B9	B10	B11, B12	B1, B2, B13
12 JAN 26 - 18 JAN 26	C2-C13	C1	D2-D7	D8	D9	D10	D11, D12	D1, D13	A2-A7	A8, A9	A10, A11	A12, A13	A1	B2-B7	B8	B9	B10, B11	B1, B12, B13
19 JAN 26 - 25 JAN 26	D1-D12	D13	A1-A6	A7	A8	A9	A10-A11	A12, A13	B1-B6	B7, B8	B9, B10	B11, B12	B13	C1-C6	C7	C8	C9, C10	C11-C13
26 JAN 26 - 01 FEB 26	D1-D11,D13	D12	A1-A5, A13	A6	A7	A8	A9, A10	A11, A12	B1-B5, B13	B6, B7	B8, B9	B10, B11	B12	C1-C5, C13	C6	C7	C8, C9	C10-C12
02 FEB 26 - 08 FEB 26	D1-D10, D12, D13 	D11	A1-A4, A12, A13	A5	A6	A7	A8, A9	A10, A11	B1-B4, B12, B13	B5, B6	B7, B8	B9, B10	B11	C1-C4, C12, C13	C5	C6	C7, C8	C9-C11
09 FEB 26 - 15 FEB 26	D1-D9, D11-D13	D10	A1-A3, A11-A13	A4	A5	A6	A7, A8	A9, A10	B1-B3, B11-B13	B4, B5	B6, B7	B8, B9	B10	C1-C3, C11-C13	C4	C5	C6, C7	C8-C10
16 FEB 26 - 22 FEB 26	D1-D8, D10-D13	D9	A1, A2, A10-A13	A3	A4	A5	A6, A7	A8, A9	B1, B2, B10-B13	B3, B4	B5, B6	B7, B8	B9	C1, C2, C10-13	C3	C4	C5, C6	C7-C9
23 FEB 26 - 01 MAR 26	D1-D7, D9-D13	D8	A1, A9-A13	A2	A3	A4	A5, A6	A7, A8	B1, B9-B13	B2, B3	B4, B5	B6, B7	B8	C1, C9-C13	C2	C3	C4, C5	C6-C8
02 MAR 26 - 08 MAR 26	D1-D6, D8-D13	D7	A8-A13	A1	A2	A3	A4, A5	A6, A7	B8-B13	B1, B2	B3, B4	B5, B6	B7	C8-C13	C1	C2	C3, C4	C5-C7
09 MAR 26 - 15 MAR 26	D1-D5, D7-D13	D6	A7-A12	A13	A1	A2	A3, A4	A5, A6	B7-B12	B1, B13	B2, B3	B4, B5	B6	C7-C12	C13	C1	C2, C3	C4-C6
16 MAR 26 - 22 MAR 26	D1-D4, D6-D13	D5	A6-A11	A12	A13	A1	A2, A3	A4, A5	B6-B11	B12, B13	B1, B2	B3, B4	B5	C6-C11	C12	C13	C1, C2	C3-C5
23 MAR 26 - 29 MAR 26	D1-D3, D5-D13	D4	A5-A10	A11	A12	A13	A1, A2	A3, A4	B5-B10	B11, B12	B1, B13	B2, B3	B4	C5-C10	C11	C12	C1, C13	C2-C4
30 MAR 26 - 05 APR 26	D1, D2, D4-D13	D3	A4-A9	A10	A11	A12	A1, A13	A2, A3	B4-B9	B10, B11	B12, B13	B1, B2	B3	C4-C9	C10	C11	C12, C13	C1-C3
06 APR 26 - 12 APR 26	D1, D3-D13	D2	A3-A8	A9	A10	A11	A12, A13	A1, A2	B3-B8	B9, B10	B11, B12	B1, B13	B2	C3-C8	C9	C10	C11, C12	C1, C2, C13
13 APR 26 - 20 APR 26	D2-D13	D1	A2-A7	A8	A9	A10	A11, A12	A1, A13	B2-B7	B8, B9	B10, B11	B12, B13	B1	C2-C7	C8	C9	C10, C11	C1, C12, C13